"","state","county1","fps_state","fps_county","state.x","county.x","pop.2000","total","x","commercial","industrial","residential","electricity.prod","onroad","cement","aircraft","unknown","nonroad","transport","other","cbsa.code","metro.division.code","csa.code","cbsa.title","metropolitan.micropolitan.statistical.area","metropolitan.division.title","csa.title","county.county.equivalent","state.name","central.outlying.county","state.y","county.y","name","popestimate2002","LND010190D","county","STCOU","percap","pop_dens"
"1","AK","Aleutians",2,16,"AK","Aleutians West Census Area",5465,54.80149885,NA,0.837981645,47.2944951,0.34876833,3.039782763,1.172925692,0,0.292810323,1.4456656,0.369069397,3.280471011,"H5",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Aleutians West Census Area",5720,14114.7,"Aleutians West",2016,0.00958068161713287,0.40525126286779
"2","AK","Aleutians",2,16,"AK","Aleutians West Census Area",5465,54.80149885,NA,0.837981645,47.2944951,0.34876833,3.039782763,1.172925692,0,0.292810323,1.4456656,0.369069397,3.280471011,"H5",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Aleutians West Census Area",5720,15011.77,"Aleutians East",2013,0.00958068161713287,0.381034348381303
"3","AK","Aleutians",2,13,"AK","Aleutians East Borough",2697,74.02211576,NA,0.402776619,54.74085925,0.309511745,4.118607664,1.68844772,0,2.069883966,10.21944749,0.472581309,14.45036049,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Aleutians East Borough",2525,14114.7,"Aleutians West",2016,0.029315689409901,0.178891510269435
"4","AK","Aleutians",2,13,"AK","Aleutians East Borough",2697,74.02211576,NA,0.402776619,54.74085925,0.309511745,4.118607664,1.68844772,0,2.069883966,10.21944749,0.472581309,14.45036049,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Aleutians East Borough",2525,15011.77,"Aleutians East",2013,0.029315689409901,0.168201351339649
"5","AK","Anchorage",2,20,"AK","Anchorage Municipality",260283,7.412586319,NA,1.381390901,2.196903082,0.731861469,0.005525919,1.006800957,0,0.318442511,1.572216879,0.199444601,3.096904948,"H6","11260",NA,NA,"Anchorage, AK","Metropolitan Statistical Area","","","Anchorage Municipality","Alaska","Central","AK","Anchorage Municipality","Anchorage Municipality",268983,1961.51,"Anchorage",2020,2.7557824542815e-05,137.130577973092
"6","AK","Bethel",2,50,"AK","Bethel Census Area",16006,21.51038229,NA,0.867027615,0.574552598,0.413178246,0.473168127,1.553191598,0,2.929690426,14.46449072,0.235082963,19.18245571,"H5",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Bethel Census Area",16905,45954.59,"Bethel",2050,0.00127242722803904,0.367863144900216
"7","AK","Bristol",2,60,"AK","Bristol Bay Borough",1258,90.8033216,NA,0.947117089,7.60871028,0.630088335,0,1.656730468,0,13.38736849,66.09622174,0.477085199,81.6174059,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Bristol Bay Borough",1155,917.61,"Bristol Bay",2060,0.0786175944588745,1.25870467845817
"8","AK","Denali",2,68,"AK","Denali Borough",1893,19.03233522,NA,0.328913355,0,1.534060523,12.67266463,1.794118112,0,0.407360885,2.011225404,0.28399231,4.496696711,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Denali Borough",1882,0,"Denali",2068,0.01011282424017,Inf
"9","AK","Dillingham",2,70,"AK","Dillingham Census Area",4922,46.50628119,NA,0.937868427,14.44194575,0.521038989,0,1.848758159,0,4.795570523,23.67672872,0.284370621,30.60542802,"H5",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Dillingham Census Area",5043,20613.12,"Dillingham",2070,0.00922194748958953,0.244650009314456
"10","AK","Fairbanks",2,90,"AK","Fairbanks North Star Borough",82840,13.52569741,NA,0.9914935,4.500834107,0.809510007,4.30143204,0.606082397,0,0.363431306,1.794335923,0.158578133,2.92242776,"H1","21820",NA,NA,"Fairbanks, AK","Metropolitan Statistical Area","","","Fairbanks North Star Borough","Alaska","Central","AK","Fairbanks North Star Borough","Fairbanks North Star Borou",85051,7443.68,"Fairbanks North Star",2090,0.00015903043362218,11.4259344840187
"11","AK","Haines",2,100,"AK","Haines Borough",2392,15.42439047,NA,0.59003305,0.089420578,0.522365441,0,1.752429893,0,2.066000062,10.20027178,0.20386966,14.2225714,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Haines Borough",2323,2754.1,"Haines",2100,0.00663985814464055,0.843469736029919
